CODGEO;NBMENFISC20;NBPERSMENFISC20;MED20;PIMP20;TP6020;TP60AGE120;TP60AGE220;TP60AGE320;TP60AGE420;TP60AGE520;TP60AGE620;TP60TOL120;TP60TOL220;PACT20;PTSA20;PCHO20;PBEN20;PPEN20;PPAT20;PPSOC20;PPFAM20;PPMINI20;PPLOGT20;PIMPOT20;D120;D920;RD20
01155;67;145;22630;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01156;328;893;25450;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01157;958;2458;26310;61,0;s;s;s;s;s;s;s;s;s;76,2;70,5;2,4;3,3;25,7;13,4;3,3;1,9;0,9;0,5;-18,6;15910;42940;2,7
01158;377;946;34360;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01159;1494;3434;23270;55,0;6,0;s;s;s;s;s;s;s;s;71,8;65,3;2,7;3,8;28,3;11,2;4,1;1,8;1,6;0,7;-15,4;14750;38670;2,6
01160;3676;7788;26970;41,0;23,0;s;20,0;27,0;28,0;19,0;s;16,0;27,0;85,0;79,3;3,4;2,3;21,0;8,3;2,9;0,9;1,3;0,7;-17,2;7060;71260;10,1
01162;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01163;838;1997;23180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01165;584;1647;25050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01166;996;2594;26070;62,0;s;s;s;s;s;s;s;s;s;80,4;73,7;2,6;4,1;23,5;8,8;3,6;1,8;1,3;0,5;-16,3;16290;40400;2,5
01167;282;710;23960;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01169;250;665;25380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01170;383;1079;23660;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01171;327;898;24860;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01173;5127;11561;33730;60,0;10,0;s;7,0;11,0;12,0;s;s;6,0;15,0;98,8;93,4;3,6;1,8;12,1;5,6;2,1;0,8;0,8;0,5;-18,6;13080;71250;5,4
01174;75;169;24230;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01175;339;831;22530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01177;87;186;24470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01179;840;1963;24120;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01180;318;785;50060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01181;451;1224;24770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01183;565;1463;25030;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01184;342;780;23410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01185;2013;3978;23020;50,0;11,0;s;s;s;s;s;s;s;19,0;62,3;54,8;2,5;5,0;37,2;8,7;5,5;1,8;2,6;1,1;-13,7;13220;36360;2,8
01187;321;672;22840;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01188;249;695;23640;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01189;451;1079;26780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01190;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01191;71;160;24680;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01192;925;2216;22630;57,0;9,0;s;s;s;s;s;s;s;s;80,9;74,9;2,8;3,2;21,3;8,5;5,0;2,2;1,7;1,1;-15,7;13680;36040;2,6
01193;100;223;24780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01194;2658;6287;23470;53,0;11,0;s;s;15,0;s;s;s;s;22,0;72,2;65,8;3,2;3,2;29,8;6,9;5,8;2,3;2,3;1,2;-14,7;13170;36740;2,8
01195;723;1770;25190;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01196;470;1186;21750;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01197;175;388;24320;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01198;103;266;24190;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01199;914;2015;22110;49,0;11,0;s;s;s;s;s;s;s;s;75,4;68,8;3,1;3,5;25,9;6,8;5,6;2,5;2,1;1,0;-13,7;12960;35850;2,8
01200;82;193;21620;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01202;3313;7398;23160;53,0;9,0;s;s;11,0;s;s;s;s;17,0;72,2;65,6;3,0;3,6;29,2;8,5;5,4;2,2;2,2;1,0;-15,3;13890;37410;2,7
01203;529;1290;24040;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01204;284;696;25560;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01206;115;274;24840;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01207;126;343;26500;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01208;67;132;24310;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01209;265;703;29320;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01210;106;188;21370;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01211;605;1374;24150;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01212;287;678;21650;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01213;539;1428;23790;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01214;73;159;24710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01215;54;136;24180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01216;368;822;23110;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01219;77;162;20690;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01224;1312;3371;23110;54,0;8,0;s;s;s;s;s;s;s;s;79,9;73,8;3,3;2,8;22,0;7,1;5,0;2,9;1,4;0,7;-14,0;13970;35570;2,5
01225;154;364;26840;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01227;276;668;23330;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01228;262;634;24970;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01229;524;1228;23680;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01230;138;322;21070;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01231;820;2039;24320;57,0;s;s;s;s;s;s;s;s;s;70,3;62,0;1,8;6,5;30,1;10,7;3,4;1,8;1,0;0,6;-14,5;15620;36560;2,3
01232;947;2169;23330;54,0;s;s;s;s;s;s;s;s;s;67,3;59,6;2,3;5,4;33,9;9,4;3,9;1,8;1,5;0,6;-14,5;14260;37580;2,6
01233;55;121;23460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01234;72;149;24730;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01235;457;1134;23000;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01236;407;991;22620;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01237;657;1710;22910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01238;1050;2823;27610;69,0;s;s;s;s;s;s;s;s;s;82,2;75,5;2,6;4,1;24,0;7,9;3,6;1,9;1,2;0,5;-17,7;16470;44340;2,7
01239;271;657;24160;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01240;282;645;24440;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01241;580;1323;24700;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01242;56;122;18460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
